ncbi_taxon_id,relative_abundance,scientific_name
28118,0.174395,Odoribacter splanchnicus
28111,0.0102585,Bacteroides eggerthii
376804,0.00512926,Bacteroides barnesiae
876,0.0102585,Desulfovibrio desulfuricans
29348,0.0410341,[Clostridium] spiroforme
487175,0.220558,Parasutterella excrementihominis
649724,0.00512926,Clostridium sp. ATCC BAA-442
239935,19.3835,Akkermansia muciniphila
214856,1.35925,Alistipes finegoldii
1680,0.0256463,Bifidobacterium adolescentis
1646377,0.0410341,Rouxiella sp. 323
28116,4.04698,Bacteroides ovatus
1086703,0.0102585,Luteolibacter luojiensis
48467,0.00512926,Prosthecobacter debontii
29370,0.0102585,[Clostridium] sphenoides
39778,0.00512926,Veillonella dispar
28117,1.81576,Alistipes putredinis
871324,0.0102585,Bacteroides stercorirosoris
1535,0.312885,[Clostridium] leptum
29524,0.0102585,Porphyromonas circumdentaria
329854,0.148748,Bacteroides intestinalis
47877,0.00512926,Pseudomonas amygdali
817,0.41547,Bacteroides fragilis
40520,0.0256463,Blautia obeum
29347,0.0102585,[Clostridium] scindens
39497,0.00512926,Eubacterium xylanophilum
301301,0.0153878,Roseburia hominis
28037,0.00512926,Streptococcus mitis
847,0.0153878,Oxalobacter formigenes
52561,0.00512926,Desulfomicrobium norvegicum
907,0.020517,Megasphaera elsdenii
357276,0.0256463,Bacteroides dorei
821,6.09869,Bacteroides vulgatus
93222,0.00512926,Pandoraea sputorum
332249,0.00512926,Truepera radiovictrix
187327,0.323143,Acidaminococcus intestini
626931,0.0256463,Bacteroides oleiciplenus
1522,0.0564218,[Clostridium] innocuum
1349,0.00512926,Streptococcus uberis
28446,0.143619,[Clostridium] propionicum
39492,0.0153878,[Eubacterium] siraeum
328814,0.148748,Alistipes shahii
1685,0.0153878,Bifidobacterium breve
562,0.0307755,Escherichia coli
44742,0.00512926,Desulfovibrio fairfieldensis
535744,0.00512926,Cronobacter universalis
52787,0.0512926,Anaerofilum pentosovorans
33039,0.0256463,[Ruminococcus] torques
-1,42.3831,Unknown
818,1.09253,Bacteroides thetaiotaomicron
1465754,0.00512926,Alistipes timonensis
166486,0.00512926,Roseburia intestinalis
165179,0.00512926,Prevotella copri
387661,0.394953,Parabacteroides johnsonii
78342,0.0102585,Bifidobacterium gallicum
1755607,0.0102585,Bacteroides sp. MC_16
39488,0.0359048,[Eubacterium] hallii
35833,0.215429,Bilophila wadsworthia
204516,0.0153878,Bacteroides massiliensis
626930,1.01559,Bacteroides fluxus
899,0.00512926,Desulfomicrobium baculatum
371601,0.0512926,Bacteroides xylanisolvens
823,1.00021,Parabacteroides distasonis
1308,0.020517,Streptococcus thermophilus
410072,0.020517,Coprococcus comes
762212,0.00512926,Bifidobacterium biavatii
246787,0.579606,Bacteroides cellulosilyticus
46506,0.0359048,Bacteroides stercoris
1265,0.00512926,Ruminococcus flavefaciens
261299,0.020517,Intestinibacter bartlettii
39485,0.0718096,[Eubacterium] eligens
645466,0.00512926,Anaerostipes butyraticus
208479,0.0359048,[Clostridium] bolteae
69825,0.0153878,[Clostridium] indolis
309120,0.020517,Dialister micraerophilus
115979,0.0256463,Bacillus nealsonii
729,0.00512926,Haemophilus parainfluenzae
516075,0.00512926,Providencia sneebia
536633,0.0615511,Blautia glucerasea
33035,0.020517,Blautia producta
169435,0.0615511,Anaerotruncus colihominis
76517,0.0102585,Campylobacter hominis
216816,0.0718096,Bifidobacterium longum
46503,0.0102585,Parabacteroides merdae
1260,0.0102585,Finegoldia magna
328813,0.0718096,Alistipes onderdonkii
28128,0.0153878,Prevotella corporis
39484,0.0461633,Eubacterium desmolans
1755626,2.17481,Faecalibacterium sp. MC_41
351091,0.215429,Oscillibacter valericigenes
633701,0.00512926,Prevotella saccharolytica
28025,0.0102585,Bifidobacterium animalis
143393,0.0820681,[Eubacterium] sulci
151276,0.0102585,Bacteroides coprosuis
44749,0.0102585,Sporobacter termitidis
218538,0.179524,Dialister invisus
471189,0.00512926,Gordonibacter pamelaeae
47678,10.3765,Bacteroides caccae
39496,0.00512926,Eubacterium ventriosum
33034,0.00512926,Anaerococcus prevotii
33038,0.020517,[Ruminococcus] gnavus
61171,0.0256463,Holdemania filiformis
28126,0.00512926,Prevotella buccae
132476,0.00512926,Pseudomonas kilonensis
118748,0.00512926,Bulleidia extructa
820,3.97005,Bacteroides uniformis
871325,0.0256463,Bacteroides faecichinchillae
35760,0.00512926,Bifidobacterium choerinum
28026,0.159007,Bifidobacterium pseudocatenulatum
338188,0.0307755,Bacteroides finegoldii
461876,0.00512926,Alkaliphilus oremlandii
187145,0.00512926,Caldithrix abyssi
